label,alpha,taus,h_rectangle_max,h_worst_z,h_refinement_sup,log_transform_rectangle_max,g_rectangle_max,discrete_worst
rough-regime,0.62,"40,80,160,320",184.8707811730127,(1.5-20j),0.001471902551941174,10.738304316588328,0.02239342219491242,"tau=40, z=(1.5-20j)"
IV-slice,0.55,160,53.403892688871565,(2.5-20j),0.03899534806265372,2.175193717630404,0.31007236410170885,"tau=160, z=(2.5-20j)"
IV-slice,0.62,160,54.194109384445774,(2.5-20j),0.012738811239920916,2.15799330504252,0.2183991548401686,"tau=160, z=(2.5-20j)"
IV-slice,0.8,160,56.58156822010863,(2.5-20j),0.0005455820661241749,2.1371880621853854,0.09021269305698447,"tau=160, z=(2.5-20j)"
IV-slice,0.95,160,59.14493705806924,(2.5-20j),0.00011760501354917476,2.1282872755611466,0.043852055478845804,"tau=160, z=(2.5-20j)"
